09-08 20:39:47 save_restore_layout.action_save_restore_layout 160:Plugin executed on: 'win32'
09-08 20:39:47 save_restore_layout.action_save_restore_layout 161:Plugin executed with python version: '2.7.16 (default, Aug 15 2019, 17:51:40)  [GCC 9.2.0 64 bit (AMD64)]'
09-08 20:39:47 save_restore_layout.action_save_restore_layout 162:KiCad build version: (5.1.6)-1
09-08 20:39:47 save_restore_layout.action_save_restore_layout 163:Save/Restore Layout plugin version: 51 started
09-08 20:39:49 save_restore_layout.action_save_restore_layout 200:Save layout chosen
09-08 20:39:53 root 53:highlighting module: u'C21'
09-08 20:39:53 root 53:highlighting module: u'C42'
09-08 20:39:53 root 53:highlighting module: u'R69'
09-08 20:39:53 root 53:highlighting module: u'R27'
09-08 20:39:53 root 53:highlighting module: u'TS6'
09-08 20:39:53 root 53:highlighting module: u'TS5'
09-08 20:39:53 root 53:highlighting module: u'EF2'
09-08 20:39:53 root 53:highlighting module: u'R13'
09-08 20:39:53 root 53:highlighting module: u'R12'
09-08 20:39:53 root 53:highlighting module: u'C16'
09-08 20:39:53 root 53:highlighting module: u'C6'
09-08 20:39:53 root 53:highlighting module: u'C1'
09-08 20:39:53 root 53:highlighting module: u'C25'
09-08 20:39:53 root 53:highlighting module: u'AS6'
09-08 20:39:53 root 53:highlighting module: u'AS12'
09-08 20:39:53 root 53:highlighting module: u'C3'
09-08 20:39:53 root 53:highlighting module: u'R11'
09-08 20:39:53 root 53:highlighting module: u'R48'
09-08 20:39:53 root 53:highlighting module: u'C53'
09-08 20:39:53 root 53:highlighting module: u'C50'
09-08 20:39:53 root 53:highlighting module: u'R38'
09-08 20:39:53 root 53:highlighting module: u'R45'
09-08 20:39:53 root 53:highlighting module: u'R41'
09-08 20:39:53 root 53:highlighting module: u'R67'
09-08 20:39:53 root 53:highlighting module: u'D1'
09-08 20:39:53 root 53:highlighting module: u'C52'
09-08 20:39:53 root 53:highlighting module: u'R36'
09-08 20:39:53 root 53:highlighting module: u'R77'
09-08 20:39:53 root 53:highlighting module: u'R73'
09-08 20:39:53 root 53:highlighting module: u'R22'
09-08 20:39:53 root 53:highlighting module: u'R33'
09-08 20:39:53 root 53:highlighting module: u'R1'
09-08 20:39:53 root 53:highlighting module: u'R63'
09-08 20:39:53 root 53:highlighting module: u'R56'
09-08 20:39:53 root 53:highlighting module: u'R55'
09-08 20:39:53 root 53:highlighting module: u'R32'
09-08 20:39:53 root 53:highlighting module: u'R10'
09-08 20:39:53 root 53:highlighting module: u'C69'
09-08 20:39:53 root 53:highlighting module: u'C65'
09-08 20:39:53 root 53:highlighting module: u'C36'
09-08 20:39:53 root 53:highlighting module: u'C58'
09-08 20:39:53 root 53:highlighting module: u'C44'
09-08 20:39:53 root 53:highlighting module: u'C24'
09-08 20:39:53 root 53:highlighting module: u'C49'
09-08 20:39:53 root 53:highlighting module: u'C29'
09-08 20:39:53 root 53:highlighting module: u'AS15'
09-08 20:39:53 root 53:highlighting module: u'AS1'
09-08 20:39:53 root 53:highlighting module: u'AS14'
09-08 20:39:53 root 53:highlighting module: u'TRC9'
09-08 20:39:53 root 53:highlighting module: u'TRC6'
09-08 20:39:53 root 53:highlighting module: u'TRC3'
09-08 20:39:53 root 53:highlighting module: u'TRC2'
09-08 20:39:53 root 53:highlighting module: u'TRC1'
09-08 20:39:53 root 53:highlighting module: u'TP18'
09-08 20:39:53 root 53:highlighting module: u'TP14'
09-08 20:39:53 root 53:highlighting module: u'TP13'
09-08 20:39:53 root 53:highlighting module: u'TP11'
09-08 20:39:53 root 53:highlighting module: u'TP5'
09-08 20:39:53 root 53:highlighting module: u'C59'
09-08 20:39:53 root 53:highlighting module: u'C62'
09-08 20:39:53 root 53:highlighting module: u'R58'
09-08 20:39:53 root 53:highlighting module: u'M2'
09-08 20:39:53 root 53:highlighting module: u'U2'
09-08 20:39:53 root 53:highlighting module: u'M6'
09-08 20:39:53 root 53:highlighting module: u'TS3'
09-08 20:39:53 root 53:highlighting module: u'C19'
09-08 20:39:53 root 53:highlighting module: u'R8'
09-08 20:39:53 root 53:highlighting module: u'C20'
09-08 20:39:53 root 53:highlighting module: u'R5'
09-08 20:39:53 root 53:highlighting module: u'C7'
09-08 20:39:53 root 53:highlighting module: u'R20'
09-08 20:39:53 root 53:highlighting module: u'R71'
09-08 20:39:53 root 53:highlighting module: u'R44'
09-08 20:39:53 root 53:highlighting module: u'FB2'
09-08 20:39:53 root 53:highlighting module: u'R81'
09-08 20:39:53 root 53:highlighting module: u'D2'
09-08 20:39:53 root 53:highlighting module: u'C61'
09-08 20:39:53 root 53:highlighting module: u'C60'
09-08 20:39:53 root 53:highlighting module: u'C51'
09-08 20:39:53 root 53:highlighting module: u'Y1'
09-08 20:39:53 root 53:highlighting module: u'R79'
09-08 20:39:53 root 53:highlighting module: u'R74'
09-08 20:39:53 root 53:highlighting module: u'R23'
09-08 20:39:53 root 53:highlighting module: u'R49'
09-08 20:39:53 root 53:highlighting module: u'R76'
09-08 20:39:53 root 53:highlighting module: u'R17'
09-08 20:39:53 root 53:highlighting module: u'R61'
09-08 20:39:53 root 53:highlighting module: u'R50'
09-08 20:39:53 root 53:highlighting module: u'R47'
09-08 20:39:53 root 53:highlighting module: u'Q1'
09-08 20:39:53 root 53:highlighting module: u'C4'
09-08 20:39:53 root 53:highlighting module: u'C46'
09-08 20:39:53 root 53:highlighting module: u'C38'
09-08 20:39:53 root 53:highlighting module: u'C73'
09-08 20:39:53 root 53:highlighting module: u'C47'
09-08 20:39:53 root 53:highlighting module: u'C40'
09-08 20:39:53 root 53:highlighting module: u'C12'
09-08 20:39:53 root 53:highlighting module: u'C10'
09-08 20:39:53 root 53:highlighting module: u'C9'
09-08 20:39:53 root 53:highlighting module: u'C8'
09-08 20:39:53 root 53:highlighting module: u'AS5'
09-08 20:39:53 root 53:highlighting module: u'AS4'
09-08 20:39:53 root 53:highlighting module: u'TP10'
09-08 20:39:53 root 53:highlighting module: u'TP6'
09-08 20:39:53 root 53:highlighting module: u'TP4'
09-08 20:39:53 root 53:highlighting module: u'R75'
09-08 20:39:53 root 53:highlighting module: u'R53'
09-08 20:39:53 root 53:highlighting module: u'C34'
09-08 20:39:53 root 53:highlighting module: u'C66'
09-08 20:39:53 root 53:highlighting module: u'C26'
09-08 20:39:53 root 53:highlighting module: u'C2'
09-08 20:39:53 root 53:highlighting module: u'C41'
09-08 20:39:53 root 53:highlighting module: u'R40'
09-08 20:39:53 root 53:highlighting module: u'U3'
09-08 20:39:53 root 53:highlighting module: u'M1'
09-08 20:39:53 root 53:highlighting module: u'M4'
09-08 20:39:53 root 53:highlighting module: u'M5'
09-08 20:39:53 root 53:highlighting module: u'TS2'
09-08 20:39:53 root 53:highlighting module: u'JC1'
09-08 20:39:53 root 53:highlighting module: u'R42'
09-08 20:39:53 root 53:highlighting module: u'R7'
09-08 20:39:53 root 53:highlighting module: u'R6'
09-08 20:39:53 root 53:highlighting module: u'C5'
09-08 20:39:53 root 53:highlighting module: u'R68'
09-08 20:39:53 root 53:highlighting module: u'R15'
09-08 20:39:53 root 53:highlighting module: u'R16'
09-08 20:39:53 root 53:highlighting module: u'R3'
09-08 20:39:53 root 53:highlighting module: u'R26'
09-08 20:39:53 root 53:highlighting module: u'C30'
09-08 20:39:53 root 53:highlighting module: u'R25'
09-08 20:39:53 root 53:highlighting module: u'AS11'
09-08 20:39:53 root 53:highlighting module: u'R72'
09-08 20:39:53 root 53:highlighting module: u'Q2'
09-08 20:39:53 root 53:highlighting module: u'C55'
09-08 20:39:53 root 53:highlighting module: u'R39'
09-08 20:39:53 root 53:highlighting module: u'R37'
09-08 20:39:53 root 53:highlighting module: u'R46'
09-08 20:39:53 root 53:highlighting module: u'R43'
09-08 20:39:53 root 53:highlighting module: u'C27'
09-08 20:39:53 root 53:highlighting module: u'C67'
09-08 20:39:53 root 53:highlighting module: u'R34'
09-08 20:39:53 root 53:highlighting module: u'R31'
09-08 20:39:53 root 53:highlighting module: u'R57'
09-08 20:39:53 root 53:highlighting module: u'R14'
09-08 20:39:53 root 53:highlighting module: u'R21'
09-08 20:39:53 root 53:highlighting module: u'Q3'
09-08 20:39:53 root 53:highlighting module: u'C45'
09-08 20:39:53 root 53:highlighting module: u'C37'
09-08 20:39:53 root 53:highlighting module: u'C32'
09-08 20:39:53 root 53:highlighting module: u'C54'
09-08 20:39:53 root 53:highlighting module: u'C39'
09-08 20:39:53 root 53:highlighting module: u'C31'
09-08 20:39:53 root 53:highlighting module: u'C14'
09-08 20:39:53 root 53:highlighting module: u'C23'
09-08 20:39:53 root 53:highlighting module: u'AS8'
09-08 20:39:53 root 53:highlighting module: u'AS7'
09-08 20:40:01 save_restore_layout.save_restore_layout 941:Saving layout for level: [u'OBC_left']
09-08 20:40:01 save_restore_layout.save_restore_layout 942:Calculating hash of the layout schematics
09-08 20:40:01 save_restore_layout.save_restore_layout 946:Saving hash for files: [u'OBC_left.sch']
09-08 20:40:01 root 956:Source modules are: [u'TRC8', u'TRC7', u'TRC5', u'TRC4', u'D4', u'TP17', u'TP15', u'TP1', u'C56', u'C68', u'C63', u'C70', u'C17', u'C15', u'R70', u'R24', u'R29', u'R28', u'M3', u'TS7', u'TS4', u'TS1', u'L1', u'R9', u'C13', u'C64', u'C18', u'R18', u'R2', u'AS10', u'C35', u'EF1', u'ESD1', u'R62', u'R60', u'D3', u'C28', u'R35', u'Y2', u'R4', u'R80', u'R78', u'R66', u'R65', u'R64', u'R59', u'R54', u'R52', u'R51', u'R30', u'R19', u'LG1', u'FB1', u'C72', u'C33', u'C43', u'C48', u'C11', u'C22', u'AS2', u'AS13', u'AS9', u'AS3', u'TP20', u'TP19', u'TP16', u'TP7', u'TP3', u'TP2', u'C57', u'U1', u'C71', u'C21', u'C42', u'R69', u'R27', u'TS6', u'TS5', u'EF2', u'R13', u'R12', u'C16', u'C6', u'C1', u'C25', u'AS6', u'AS12', u'C3', u'R11', u'R48', u'C53', u'C50', u'R38', u'R45', u'R41', u'R67', u'D1', u'C52', u'R36', u'R77', u'R73', u'R22', u'R33', u'R1', u'R63', u'R56', u'R55', u'R32', u'R10', u'C69', u'C65', u'C36', u'C58', u'C44', u'C24', u'C49', u'C29', u'AS15', u'AS1', u'AS14', u'TRC9', u'TRC6', u'TRC3', u'TRC2', u'TRC1', u'TP18', u'TP14', u'TP13', u'TP11', u'TP5', u'C59', u'C62', u'R58', u'M2', u'U2', u'M6', u'TS3', u'C19', u'R8', u'C20', u'R5', u'C7', u'R20', u'R71', u'R44', u'FB2', u'R81', u'D2', u'C61', u'C60', u'C51', u'Y1', u'R79', u'R74', u'R23', u'R49', u'R76', u'R17', u'R61', u'R50', u'R47', u'Q1', u'C4', u'C46', u'C38', u'C73', u'C47', u'C40', u'C12', u'C10', u'C9', u'C8', u'AS5', u'AS4', u'TP10', u'TP6', u'TP4', u'R75', u'R53', u'C34', u'C66', u'C26', u'C2', u'C41', u'R40', u'U3', u'M1', u'M4', u'M5', u'TS2', u'JC1', u'R42', u'R7', u'R6', u'C5', u'R68', u'R15', u'R16', u'R3', u'R26', u'C30', u'R25', u'AS11', u'R72', u'Q2', u'C55', u'R39', u'R37', u'R46', u'R43', u'C27', u'C67', u'R34', u'R31', u'R57', u'R14', u'R21', u'Q3', u'C45', u'C37', u'C32', u'C54', u'C39', u'C31', u'C14', u'C23', u'AS8', u'AS7']
09-08 20:40:01 save_restore_layout.save_restore_layout 966:Removing everything else from the layout
09-08 20:40:01 save_restore_layout.save_restore_layout 880:Removing text
09-08 20:40:01 save_restore_layout.save_restore_layout 863:Removing drawing
09-08 20:40:01 save_restore_layout.save_restore_layout 897:Removing zones
09-08 20:40:01 save_restore_layout.save_restore_layout 913:Removing tracks
09-08 20:40:01 save_restore_layout.save_restore_layout 916:Bounding box points: (24320000, 80315001, 22099999, 65240001)
09-08 20:40:01 save_restore_layout.save_restore_layout 936:Removing modules
09-08 20:40:01 save_restore_layout.save_restore_layout 985:Saving layout in temporary file
09-08 20:40:01 save_restore_layout.save_restore_layout 988:Reading layout as text
09-08 20:40:01 save_restore_layout.save_restore_layout 995:Saving layout data
09-08 20:40:01 save_restore_layout.save_restore_layout 1002:Succesfully saved the layout
